date_1,day,month,year,temp2_c,temp2_max_c,temp2_min_c,temp2_ave_c,surface_pressure_pa,wind_speed50_max_m_s,wind_speed50_min_m_s,wind_speed50_ave_m_s,prectotcorr,total_demand_mw,date_2,max_generation_mw
07-02-18,8.503698321636447,1.7411011335566535,-8.9287030806618e-34,278766293141.38623,7485.105514102752,1078957.4099169925,103767686777.38669,11101027511071025e4,2.954394602417632,1.3350280414685107,1.475857157957612,0.0039810717055349205,91.65151389917136,07-02-18,-0.16467399600691135
08-02-18,9.849155320301948,1.7411011335566535,-8.9287030806618e-34,311002421332.67053,6969.574508960592,2433031.1538749277,142313767805.2183,11013454527816599e4,3.7628564965346953,1.319532716994089,1.5785547292437079,0.0039810717055349205,91.65151389917136,08-02-18,-0.1652503146793246
09-02-18,11.211578470242733,1.7411011335566535,-8.9287030806618e-34,329036752476.137,7808.666350644571,908120.9519805306,103555125929.7936,11090046724075212e4,3.4846717655884385,1.0482280080906328,1.4636424598552686,0.2511887185075238,86.6025403785016,09-02-18,-0.1681049125811392
10-02-18,12.589254131789893,1.7411011335566535,-8.9287030806618e-34,336216051385.4791,6723.910089249328,2330262.0388219864,129374859839.20729,11423758144831316e4,3.318983464631398,1.1704854302999046,1.4709996571992792,0.6170338719755167,91.37833441254004,10-02-18,-0.16513245859741515
11-02-18,13.980797781292393,1.7411011335566535,-8.9287030806618e-34,223040014338.24057,6463.442142905324,1363078.515820312,87560181877.97995,11674194440038657e4,2.531855676560403,0.9209670223099606,1.2779694217232895,0.5544194019129707,91.65151389917136,11-02-18,-0.1655904399634777
12-02-18,15.385066261944818,1.7411011335566535,-8.9287030806618e-34,203676940263.38696,7589.505004189143,717117.863836134,86467103430.22702,11731796310314749e4,4.040183938263211,1.0990467620384428,1.5554137974198907,0.0039810717055349205,91.10433579149787,12-02-18,-0.1650474284753071
13-02-18,16.801098884367192,1.7411011335566535,-8.9287030806618e-34,230192677883.3575,8250.949439669126,648307.3200024515,98364253006.59612,11789653847558265e4,3.912334495975999,1.3426208243234774,1.6054180247404033,0.0039810717055349205,91.65151389917136,13-02-18,-0.16403150384238335
14-02-18,18.228076374766676,1.7411011335566535,-8.9287030806618e-34,357062361153.7361,7529.736674698787,1565300.446864727,128601760582.92026,11743347332193696e4,3.272798220452174,1.3304235682117005,1.5174195154751458,0.0039810717055349205,92.73618495501096,14-02-18,-0.16403929649800852
15-02-18,19.66529136001754,1.7411011335566535,-8.9287030806618e-34,302978566298.45374,7381.614869891672,1270234.8537979699,110101571236.77837,11812868674926336e4,2.680441395433303,1.2720127354154835,1.4122322509616976,0.0039810717055349205,92.1954445729831,15-02-18,-0.1645546092240373
16-02-18,21.11212658688098,1.7411011335566535,-8.9287030806618e-34,215107337772.44754,7155.67492259141,597719.0430863035,69635819769.46498,11559753684918028e4,3.0461903998880993,1.3179596580318755,1.4818770538162993,0.0039810717055349205,87.7496438739782,16-02-18,-0.16807784472487988
